Designator,Mid X,Mid Y,Layer,Rotation
C1,156.0,-100.0,T,180.0
C2,151.0,-100.0,T,0.0
C3,165.5,-101.5,T,270.0
C4,159.5,-101.5,T,90.0
D1,168.0,-95.5,T,180.0
D2,168.0,-98.5,T,180.0
D3,168.0,-101.5,T,0.0
D4,150.0,-97.0,T,90.0
J1,146.35,-96.0,T,180.0
J2,178.475,-102.58,T,180.0
JP1,171.725,-102.5,T,90.0
Q1,170.5,-93.0,T,180.0
Q2,170.5,-89.5,T,180.0
R1,167.5,-93.0,T,270.0
R2,167.5,-89.5,T,90.0
R3,168.0,-103.0,T,0.0
R4,168.0,-97.0,T,180.0
R5,168.0,-100.0,T,180.0
R6,150.0,-94.0,T,270.0
U1,154.5,-94.5,T,270.0
U2,162.5,-94.5,T,270.0
Y1,162.5,-101.5,T,180.0
